config,policy,plx,branch,feh_true,gi,seed,p_rgb,feh_est,feh_lo,feh_hi,correct
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,48,0.0,-1.96,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,49,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,50,0.0,-1.9,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,51,1.0,-1.94,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,52,0.0,-2.48,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,53,0.0,-2.34,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,54,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,55,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,56,1.0,-2.46,nan,nan,0
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,57,0.0,-2.42,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,58,0.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,MS,-2.5,0.537,59,0.0,-2.2,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,0,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,1,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,2,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,3,1.0,-2.44,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,4,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,5,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,6,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,7,1.0,-2.28,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,8,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,9,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,10,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,11,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,12,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,13,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,14,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,15,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,16,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,17,1.0,-2.16,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,18,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,19,1.0,-2.34,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,20,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,21,1.0,-2.4,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,22,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,23,1.0,-2.44,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,24,1.0,-1.82,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,25,1.0,-2.34,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,26,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,27,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,28,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,29,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,30,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,31,1.0,-2.12,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,32,1.0,-1.86,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,33,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,34,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,35,1.0,-2.24,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,36,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.62,37,1.0,-2.5,nan,nan,1
